STATION,NAME,DATE,TMAX,TMIN
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/27/13,69,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/28/13,72,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/29/13,70,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",11/30/13,69,37
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/1/13,71,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/2/13,67,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/3/13,57,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/4/13,54,26
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/5/13,51,24
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/6/13,46,22
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/7/13,47,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/8/13,48,24
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/9/13,52,19
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/10/13,54,22
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/11/13,58,24
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/12/13,60,24
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/13/13,63,25
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/14/13,64,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/15/13,,31
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/16/13,,
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/17/13,,
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/18/13,,
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/19/13,63,39
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/20/13,67,26
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/21/13,68,38
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/22/13,67,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/23/13,67,31
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/24/13,69,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/25/13,67,28
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/26/13,66,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/27/13,56,29
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/28/13,71,23
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/29/13,66,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/30/13,63,26
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",12/31/13,63,31
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/1/14,67,25
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/2/14,64,30
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/3/14,70,31
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/4/14,69,30
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/5/14,68,23
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/6/14,59,30
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/7/14,64,34
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/8/14,60,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/9/14,67,35
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/10/14,64,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/11/14,55,36
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/12/14,63,33
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/13/14,67,31
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/14/14,69,26
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/15/14,71,28
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/16/14,73,25
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/17/14,71,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/18/14,73,27
USW00023213,"SANTA ROSA SONOMA CO AIRPORT, CA US",1/19/14,70,26
