STATION,NAME,DATE,TMAX,TMIN
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/27/10,60,30
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/28/10,55,40
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/29/10,57,34
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/30/10,64,29
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",3/31/10,79,36
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/1/10,82,59
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/2/10,82,55
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/3/10,69,42
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/4/10,78,40
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/5/10,81,64
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/6/10,85,64
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/7/10,74,57
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/8/10,57,41
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/9/10,57,31
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/10/10,72,33
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/11/10,76,41
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/12/10,78,44
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/13/10,82,47
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/14/10,85,53
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/15/10,84,51
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/16/10,77,52
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/17/10,62,36
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/18/10,62,34
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/19/10,65,37
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/20/10,68,42
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/21/10,71,37
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/22/10,72,44
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/23/10,66,54
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/24/10,71,58
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/25/10,59,53
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/26/10,60,45
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/27/10,62,40
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/28/10,63,30
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/29/10,77,41
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",4/30/10,79,63
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/1/10,73,62
USW00003893,"BLOOMINGTON MONROE CO AIRPORT, IN US",5/2/10,74,62
