STATION,NAME,DATE,TMAX,TMIN
USW00013958,"AUSTIN CAMP MABRY, TX US",4/26/14,86,68
USW00013958,"AUSTIN CAMP MABRY, TX US",4/27/14,96,73
USW00013958,"AUSTIN CAMP MABRY, TX US",4/28/14,93,66
USW00013958,"AUSTIN CAMP MABRY, TX US",4/29/14,84,60
USW00013958,"AUSTIN CAMP MABRY, TX US",4/30/14,75,57
USW00013958,"AUSTIN CAMP MABRY, TX US",5/1/14,77,52
USW00013958,"AUSTIN CAMP MABRY, TX US",5/2/14,83,56
USW00013958,"AUSTIN CAMP MABRY, TX US",5/3/14,94,58
USW00013958,"AUSTIN CAMP MABRY, TX US",5/4/14,91,61
USW00013958,"AUSTIN CAMP MABRY, TX US",5/5/14,92,60
USW00013958,"AUSTIN CAMP MABRY, TX US",5/6/14,87,65
USW00013958,"AUSTIN CAMP MABRY, TX US",5/7/14,88,70
USW00013958,"AUSTIN CAMP MABRY, TX US",5/8/14,84,73
USW00013958,"AUSTIN CAMP MABRY, TX US",5/9/14,86,66
USW00013958,"AUSTIN CAMP MABRY, TX US",5/10/14,91,60
USW00013958,"AUSTIN CAMP MABRY, TX US",5/11/14,93,72
USW00013958,"AUSTIN CAMP MABRY, TX US",5/12/14,82,62
USW00013958,"AUSTIN CAMP MABRY, TX US",5/13/14,67,55
USW00013958,"AUSTIN CAMP MABRY, TX US",5/14/14,76,51
USW00013958,"AUSTIN CAMP MABRY, TX US",5/15/14,84,46
USW00013958,"AUSTIN CAMP MABRY, TX US",5/16/14,86,61
USW00013958,"AUSTIN CAMP MABRY, TX US",5/17/14,86,60
USW00013958,"AUSTIN CAMP MABRY, TX US",5/18/14,85,62
USW00013958,"AUSTIN CAMP MABRY, TX US",5/19/14,86,66
USW00013958,"AUSTIN CAMP MABRY, TX US",5/20/14,89,67
USW00013958,"AUSTIN CAMP MABRY, TX US",5/21/14,89,70
USW00013958,"AUSTIN CAMP MABRY, TX US",5/22/14,87,70
USW00013958,"AUSTIN CAMP MABRY, TX US",5/23/14,84,71
USW00013958,"AUSTIN CAMP MABRY, TX US",5/24/14,86,70
USW00013958,"AUSTIN CAMP MABRY, TX US",5/25/14,87,72
USW00013958,"AUSTIN CAMP MABRY, TX US",5/26/14,75,64
USW00013958,"AUSTIN CAMP MABRY, TX US",5/27/14,73,63
USW00013958,"AUSTIN CAMP MABRY, TX US",5/28/14,84,68
USW00013958,"AUSTIN CAMP MABRY, TX US",5/29/14,89,66
USW00013958,"AUSTIN CAMP MABRY, TX US",5/30/14,94,68
USW00013958,"AUSTIN CAMP MABRY, TX US",5/31/14,93,70
USW00013958,"AUSTIN CAMP MABRY, TX US",6/1/14,88,71
USW00013958,"AUSTIN CAMP MABRY, TX US",6/2/14,91,74
USW00013958,"AUSTIN CAMP MABRY, TX US",6/3/14,90,75
USW00013958,"AUSTIN CAMP MABRY, TX US",6/4/14,91,74
USW00013958,"AUSTIN CAMP MABRY, TX US",6/5/14,91,74
USW00013958,"AUSTIN CAMP MABRY, TX US",6/6/14,92,73
USW00013958,"AUSTIN CAMP MABRY, TX US",6/7/14,92,74
USW00013958,"AUSTIN CAMP MABRY, TX US",6/8/14,90,76
USW00013958,"AUSTIN CAMP MABRY, TX US",6/9/14,86,68
USW00013958,"AUSTIN CAMP MABRY, TX US",6/10/14,92,64
USW00013958,"AUSTIN CAMP MABRY, TX US",6/11/14,94,66
USW00013958,"AUSTIN CAMP MABRY, TX US",6/12/14,92,68
USW00013958,"AUSTIN CAMP MABRY, TX US",6/13/14,89,68
USW00013958,"AUSTIN CAMP MABRY, TX US",6/14/14,87,73
USW00013958,"AUSTIN CAMP MABRY, TX US",6/15/14,91,74
USW00013958,"AUSTIN CAMP MABRY, TX US",6/16/14,92,75
USW00013958,"AUSTIN CAMP MABRY, TX US",6/17/14,92,75
USW00013958,"AUSTIN CAMP MABRY, TX US",6/18/14,92,77
USW00013958,"AUSTIN CAMP MABRY, TX US",6/19/14,91,76
USW00013958,"AUSTIN CAMP MABRY, TX US",6/20/14,91,75
USW00013958,"AUSTIN CAMP MABRY, TX US",6/21/14,92,75
USW00013958,"AUSTIN CAMP MABRY, TX US",6/22/14,90,76
USW00013958,"AUSTIN CAMP MABRY, TX US",6/23/14,88,68
USW00013958,"AUSTIN CAMP MABRY, TX US",6/24/14,93,74
USW00013958,"AUSTIN CAMP MABRY, TX US",6/25/14,89,71
USW00013958,"AUSTIN CAMP MABRY, TX US",6/26/14,88,71
USW00013958,"AUSTIN CAMP MABRY, TX US",6/27/14,91,75
USW00013958,"AUSTIN CAMP MABRY, TX US",6/28/14,93,78
USW00013958,"AUSTIN CAMP MABRY, TX US",6/29/14,95,77
USW00013958,"AUSTIN CAMP MABRY, TX US",6/30/14,96,77
USW00013958,"AUSTIN CAMP MABRY, TX US",7/1/14,96,75
USW00013958,"AUSTIN CAMP MABRY, TX US",7/2/14,97,73
USW00013958,"AUSTIN CAMP MABRY, TX US",7/3/14,96,72
USW00013958,"AUSTIN CAMP MABRY, TX US",7/4/14,93,71
USW00013958,"AUSTIN CAMP MABRY, TX US",7/5/14,94,69
USW00013958,"AUSTIN CAMP MABRY, TX US",7/6/14,95,72
USW00013958,"AUSTIN CAMP MABRY, TX US",7/7/14,96,73
USW00013958,"AUSTIN CAMP MABRY, TX US",7/8/14,98,74
USW00013958,"AUSTIN CAMP MABRY, TX US",7/9/14,98,72
USW00013958,"AUSTIN CAMP MABRY, TX US",7/10/14,96,72
USW00013958,"AUSTIN CAMP MABRY, TX US",7/11/14,95,71
USW00013958,"AUSTIN CAMP MABRY, TX US",7/12/14,98,71
USW00013958,"AUSTIN CAMP MABRY, TX US",7/13/14,100,74
USW00013958,"AUSTIN CAMP MABRY, TX US",7/14/14,101,75
USW00013958,"AUSTIN CAMP MABRY, TX US",7/15/14,92,73
USW00013958,"AUSTIN CAMP MABRY, TX US",7/16/14,95,73
USW00013958,"AUSTIN CAMP MABRY, TX US",7/17/14,89,74
USW00013958,"AUSTIN CAMP MABRY, TX US",7/18/14,78,72
USW00013958,"AUSTIN CAMP MABRY, TX US",7/19/14,86,70
USW00013958,"AUSTIN CAMP MABRY, TX US",7/20/14,94,74
USW00013958,"AUSTIN CAMP MABRY, TX US",7/21/14,96,77
USW00013958,"AUSTIN CAMP MABRY, TX US",7/22/14,96,76
