,DateTime,Adopt,Euth,RTO,Unintended,Other,TotalOutcomes
432,2014-12-07,32,1,14,0,15,62
433,2014-12-08,21,2,7,0,11,41
434,2014-12-09,14,1,4,0,8,27
435,2014-12-10,5,4,6,0,12,27
436,2014-12-11,13,2,7,0,10,32
437,2014-12-12,7,1,9,0,8,25
438,2014-12-13,17,1,11,0,2,31
439,2014-12-14,10,0,7,0,3,20
440,2014-12-15,13,4,6,1,7,31
441,2014-12-16,9,1,10,1,3,24
442,2014-12-17,16,1,16,0,5,38
443,2014-12-18,13,3,7,0,9,32
444,2014-12-19,15,1,7,0,7,30
445,2014-12-20,18,1,10,0,10,39
446,2014-12-21,9,0,9,1,0,19
447,2014-12-22,11,4,8,0,2,25
448,2014-12-23,11,4,1,0,12,28
449,2014-12-24,14,1,6,0,3,24
450,2014-12-25,0,2,3,0,0,5
451,2014-12-26,11,0,11,0,7,29
452,2014-12-27,18,0,18,0,13,49
453,2014-12-28,13,0,5,0,5,23
454,2014-12-29,11,0,5,0,3,19
455,2014-12-30,16,2,10,0,5,33
456,2014-12-31,18,1,4,0,3,26
457,2015-01-01,18,0,10,0,3,31
458,2015-01-02,13,0,4,0,6,23
459,2015-01-03,20,1,7,0,2,30
460,2015-01-04,17,0,7,0,11,35
461,2015-01-05,13,0,12,1,6,32
462,2015-01-06,9,3,10,0,7,29
463,2015-01-07,12,0,5,0,3,20
464,2015-01-08,6,0,27,0,2,35
465,2015-01-09,6,2,7,0,12,27
466,2015-01-10,12,1,1,0,5,19
467,2015-01-11,14,0,3,0,3,20
468,2015-01-12,15,2,9,0,13,39
469,2015-01-13,2,1,7,0,1,11
470,2015-01-14,6,1,8,0,5,20
471,2015-01-15,7,0,4,0,3,14
472,2015-01-16,8,0,6,0,4,18
473,2015-01-17,25,2,11,0,0,38
474,2015-01-18,33,1,3,0,4,41
475,2015-01-19,22,1,4,0,3,30
476,2015-01-20,11,3,10,0,14,38
477,2015-01-21,11,2,11,0,3,27
478,2015-01-22,6,3,14,0,2,25
479,2015-01-23,7,0,5,0,5,17
480,2015-01-24,11,1,7,0,3,22
481,2015-01-25,13,1,7,0,3,24
482,2015-01-26,16,2,10,0,3,31
483,2015-01-27,14,2,4,0,7,27
484,2015-01-28,6,3,7,0,3,19
485,2015-01-29,7,2,9,0,4,22
486,2015-01-30,16,2,10,0,3,31
487,2015-01-31,23,0,4,0,6,33
488,2015-02-01,16,0,9,1,8,34
489,2015-02-02,15,2,12,0,10,39
490,2015-02-03,8,1,12,0,7,28
491,2015-02-04,16,0,6,0,10,32
492,2015-02-05,12,4,4,0,1,21
493,2015-02-06,7,4,5,0,7,23
494,2015-02-07,24,0,8,0,6,38
