Date,ADM,CL,GIS,SJM,WOOF
2015-05-11,51.599998474121094,67.83000183105469,56.06999969482422,116.2699966430664,
2015-05-12,51.91999816894531,67.87999725341797,56.400001525878906,116.45999908447266,
2015-05-13,52.15999984741211,67.5999984741211,56.220001220703125,116.58000183105469,
2015-05-14,52.880001068115234,68.62999725341797,56.84000015258789,118.36000061035156,
2015-05-15,53.040000915527344,68.62999725341797,57.13999938964844,118.5,
2015-05-18,53.130001068115234,68.61000061035156,56.849998474121094,118.66999816894531,
2015-05-19,52.52000045776367,69.13999938964844,56.86000061035156,119.2699966430664,
2015-05-20,52.43000030517578,68.88999938964844,56.970001220703125,119.87999725341797,
2015-05-21,52.91999816894531,68.81999969482422,56.81999969482422,119.27999877929688,
2015-05-22,52.66999816894531,68.5,56.52000045776367,120.38999938964844,
2015-05-26,52.150001525878906,67.1500015258789,55.97999954223633,119.47000122070312,
2015-05-27,53.16999816894531,67.54000091552734,56.470001220703125,119.9000015258789,
2015-05-28,52.65999984741211,67.33000183105469,56.25,119.5,
2015-05-29,52.849998474121094,66.79000091552734,56.150001525878906,118.55000305175781,
2015-06-01,53.029998779296875,66.9000015258789,56.290000915527344,118.41999816894531,
2015-06-02,52.7599983215332,66.7300033569336,55.86000061035156,118.55000305175781,
2015-06-03,52.459999084472656,66.56999969482422,55.70000076293945,118.19000244140625,
2015-06-04,51.38999938964844,65.91999816894531,55.060001373291016,113.75,
2015-06-05,51.0099983215332,65.4800033569336,54.41999816894531,111.31999969482422,
2015-06-08,51.0099983215332,65.33999633789062,54.36000061035156,110.4800033569336,
2015-06-09,51.0099983215332,66.02999877929688,54.45000076293945,111.5999984741211,
2015-06-10,52.209999084472656,67.06999969482422,55.09000015258789,111.56999969482422,
2015-06-11,52.060001373291016,66.55000305175781,55.11000061035156,111.75,
2015-06-12,51.90999984741211,66.29000091552734,54.91999816894531,111.29000091552734,
2015-06-15,51.27000045776367,65.33999633789062,54.400001525878906,110.98999786376953,
2015-06-16,51.45000076293945,65.9800033569336,55.09000015258789,112.3499984741211,
2015-06-17,50.939998626708984,66.41000366210938,55.25,112.72000122070312,
